code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01140233,0114,01,02,Stockholms län,Fyrklövern Södra,900,ordinary,district_mapping,0.5138888888888888,462.49999999999994,01140233,0.12873326467559218,0.04016477857878476,0.017507723995880537,0.04840370751802266,0.03192584963954686,0.3553038105046344,0.1513903192584964,0.17610710607621008,0.05046343975283213
01140313,0114,01,02,Stockholms län,Odenslunda Norra,1199,ordinary,district_mapping,0.801038062283737,960.4446366782006,01140313,0.2606125738850081,0.07898979043524987,0.0445996775926921,0.053197205803331545,0.019881783987103708,0.2509403546480387,0.06286942504030091,0.2186996238581408,0.010209564750134336
01140314,0114,01,02,Stockholms län,Norra Bollstanäs,1466,ordinary,district_mapping,0.8995695839311334,1318.7690100430416,01140314,0.32141438220103297,0.08462455303933254,0.06634882796980532,0.06396503774334525,0.029797377830750895,0.23321414382201033,0.026618990862137464,0.1632896305125149,0.010727056019070322
01140315,0114,01,02,Stockholms län,Sjukyrkoberget,1169,ordinary,district_mapping,0.8617672790901137,1007.405949256343,01140315,0.281455280444669,0.06619504800404244,0.05103587670540677,0.048004042445679636,0.025770591207680646,0.32086912582112176,0.027791814047498736,0.1753410813542193,0.0035371399696816574
01140316,0114,01,02,Stockholms län,Grimstaby,1701,ordinary,district_mapping,0.8481159420289855,1442.6452173913044,01140316,0.2524701873935264,0.07189097103918228,0.049403747870528106,0.06780238500851789,0.026916524701873935,0.2899488926746167,0.037819420783645655,0.19522998296422486,0.008517887563884156
01140317,0114,01,02,Stockholms län,Gamla Bollstanäs,1234,ordinary,district_mapping,0.8253012048192772,1018.421686746988,01140317,0.26414115204981836,0.08562532433834977,0.057602490918526206,0.05864037363777893,0.029579657498702647,0.239231966787753,0.03476907109496627,0.22366372599896212,0.006746237675142709
01140318,0114,01,02,Stockholms län,Frestaby,1080,ordinary,district_mapping,0.860982391102873,929.8609823911029,01140318,0.2758435993572576,0.05838243170862346,0.061596143545795394,0.047670058918050345,0.03267273701124799,0.2640599892876272,0.04231387252276379,0.21049812533476164,0.006963042313872523
01140327,0114,01,02,Stockholms län,Östra Frestaby-Ekeby,1492,ordinary,district_mapping,0.83690036900369,1248.6553505535055,01140327,0.2885375494071146,0.06982872200263504,0.04962670180061485,0.06368028107158542,0.024154589371980676,0.22002635046113306,0.03557312252964427,0.23407992973210365,0.014492753623188406
01150101,0115,01,02,Stockholms län,1 Vallentuna västra,949,ordinary,district_mapping,0.8492239467849224,805.9135254988913,01150101,0.32511356262167423,0.07852044127190136,0.0499675535366645,0.06683971447112265,0.035691109669046074,0.16028552887735237,0.030499675535366644,0.24594419208306295,0.007138221933809215
01150102,0115,01,02,Stockholms län,2 Markim-Orkesta,1345,ordinary,district_mapping,0.8771251931993818,1179.7333848531684,01150102,0.24177270732777534,0.11715664765247916,0.049583150504607286,0.04870557261956999,0.060991663010092144,0.23475208424747696,0.025888547608600262,0.20930232558139536,0.01184730144800351
01150103,0115,01,02,Stockholms län,3 Hammarbacken N,1508,ordinary,district_mapping,0.8733062330623306,1316.9457994579946,01150103,0.2771550057982219,0.08697332817935834,0.073057595670661,0.056049478160030926,0.038268264398917666,0.26091998453807497,0.023579435639737148,0.17046772323154233,0.01352918438345574
01150104,0115,01,02,Stockholms län,4 Hammarbacken S,1435,ordinary,district_mapping,0.791231732776618,1135.4175365344468,01150104,0.2448532632501095,0.07314936487078405,0.052124397722295226,0.05825667980727114,0.05300043802014893,0.26850635129215944,0.0328515111695138,0.20455540954883925,0.012702584318878668
01150105,0115,01,02,Stockholms län,5 Ormsta N,1519,ordinary,district_mapping,0.8353909465020576,1268.9588477366256,01150105,0.26298568507157466,0.07075664621676891,0.04785276073619632,0.04948875255623722,0.06175869120654397,0.26298568507157466,0.032310838445807774,0.2,0.011860940695296524
01150106,0115,01,02,Stockholms län,6 Vallentuna nordöstra,2014,ordinary,district_mapping,0.8616600790513834,1735.3833992094862,01150106,0.284547533485789,0.07350539039529566,0.06435805292388108,0.061091146684090165,0.05259719046063378,0.20875530872263967,0.03234237177393009,0.2107154524665142,0.012087553087226397
01150107,0115,01,02,Stockholms län,7 Norrgården-Sörgården,1005,ordinary,district_mapping,0.734915924826904,738.5905044510386,01150107,0.18394648829431437,0.06086956521739131,0.046153846153846156,0.043478260869565216,0.022073578595317726,0.305685618729097,0.06622073578595318,0.2588628762541806,0.012709030100334449
01150108,0115,01,02,Stockholms län,8 Vallentuna C,1628,ordinary,district_mapping,0.7761479591836735,1263.5688775510205,01150108,0.20098239869013507,0.07245190339746213,0.04379860826852231,0.04297994269340974,0.05689725747032337,0.32623823168235777,0.056078591895210805,0.18788374948833403,0.012689316414244782
